epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2
0,0.085118,0.068215,0.060996,0.20748,0.42472,0.31835,0.11005,0.062288,0.064955,0.055206,0.070158,0.0033158,0.0033158
1,0.064199,0.053402,0.048899,0.38868,0.64235,0.51222,0.15082,0.068524,0.061453,0.041637,0.040076,0.0065668,0.0065668
2,0.060789,0.050137,0.036902,0.63383,0.8831,0.89815,0.42337,0.058291,0.069666,0.02625,0.0099108,0.0097354,0.0097354
3,0.056145,0.046969,0.020387,0.93571,0.9726,0.98491,0.46185,0.056369,0.060737,0.013176,0.0096288,0.0096288,0.0096288
4,0.05038,0.044694,0.012439,0.99343,0.99043,0.99428,0.48122,0.054752,0.064944,0.011072,0.0096288,0.0096288,0.0096288
5,0.047872,0.043137,0.010732,0.99548,0.99081,0.99448,0.5711,0.050678,0.054527,0.010076,0.009505,0.009505,0.009505
6,0.045834,0.041625,0.0098098,0.99515,0.99159,0.99386,0.54911,0.049916,0.055264,0.0094454,0.0093813,0.0093813,0.0093813
7,0.044383,0.040816,0.0092308,0.99595,0.99399,0.99433,0.62229,0.045059,0.049746,0.0093938,0.0092575,0.0092575,0.0092575
8,0.042956,0.040195,0.0088612,0.99528,0.99481,0.99433,0.59201,0.047966,0.052963,0.0090956,0.0091337,0.0091337,0.0091337
9,0.042074,0.039432,0.0084508,0.99596,0.99526,0.99465,0.64066,0.044604,0.048907,0.0088957,0.00901,0.00901,0.00901
10,0.041623,0.03868,0.0083635,0.99634,0.99409,0.99465,0.61048,0.046456,0.050358,0.0092735,0.0088863,0.0088863,0.0088863
11,0.041121,0.038505,0.0079955,0.99463,0.9956,0.99481,0.66021,0.043047,0.048529,0.0091832,0.0087625,0.0087625,0.0087625
12,0.040364,0.038102,0.0079289,0.99475,0.99224,0.99461,0.63433,0.046264,0.049777,0.0089786,0.0086388,0.0086388,0.0086388
13,0.039757,0.037382,0.0076851,0.99619,0.9944,0.9948,0.67446,0.042664,0.046062,0.0088114,0.008515,0.008515,0.008515
14,0.039318,0.037005,0.007558,0.99666,0.99429,0.99489,0.68697,0.041522,0.043671,0.0083966,0.0083913,0.0083913,0.0083913
15,0.039005,0.036898,0.0074627,0.99705,0.99668,0.99474,0.68766,0.041727,0.044445,0.0082407,0.0082675,0.0082675,0.0082675
16,0.038478,0.036311,0.0073694,0.99736,0.9951,0.99477,0.65124,0.043269,0.048702,0.0088394,0.0081437,0.0081437,0.0081437
17,0.038195,0.036285,0.007321,0.99662,0.99594,0.99468,0.6901,0.040667,0.04398,0.0079373,0.00802,0.00802,0.00802
18,0.037868,0.035888,0.0071733,0.99643,0.99564,0.9948,0.68482,0.041275,0.044119,0.0080178,0.0078963,0.0078963,0.0078963
